Label,Keywords
ham,"['u finish ur lunch already', 'ard 3 smth lor', 'go str', 'finish', 'lunch', 'lor', 'aft']"
ham,"['ffffffffff', 'alright', 'way', 'meet', 'sooner']"
ham,"['hungry tho', 'getting worried', 'forced', 'eat', 'slice', 'really', 'sucks', 'mark', 'knows', 'sick', 'turn', 'pizza', 'lol']"
ham,"['lol', 'always', 'convincing']"
ham,"['catch', 'bus', 'frying', 'egg', 'make', 'tea', 'eating', 'mom', 'left', 'dinner', 'feel', 'love']"
ham,"['back amp', 'packing', 'car', 'let', 'know', 'room']"
ham,"['vaguely remember', 'feel like', 'ahhh', 'work', 'lol']"
ham,"['wait', 'still', 'clear', 'sure', 'sarcastic', 'x', 'want', 'live', 'us']"
ham,"['actin like spoilt child', 'v apologetic', 'badly cheers', 'got caught', 'till 2', 'got', '2', 'yeah', 'n', 'fallen', 'go']"
ham,"['k tell', 'anything']"
ham,"['fear', 'fainting', 'housework', 'quick', 'cuppa']"
spam,"['charged å 5 month please confirm', 'ringtone uk', 'replying yes', 'charged', 'thanks', 'subscription', 'mobile', 'reply']"
ham,"['go home look', 'msg ì_', 'xuhui going', '2nd may', 'yup', 'ok', 'timings', 'learn', 'lesson', '8am']"
ham,"['oops', 'let', 'know', 'roommate', 'done']"
ham,"['letter b', 'see', 'car']"
ham,"['anything lor', 'u decide']"
ham,"['saturday go', 'anything tomo', 'anything', 'hello', 'texting', 'see', 'decided', 'trying', 'invite']"
ham,"['pls go ahead', 'great weekend', 'watts', 'wanted', 'sure', 'abiola']"
ham,"['sweet arabian steed', 'forget', 'tell', 'want', 'need', 'crave', 'love', 'mmmmmm', 'yummy']"
spam,"['free nokia mobile free camcorder', 'rodger burns', 'delivery tomorrow', 'please call', 'call', '07732584351', 'msg', 'tried', 'reply', 'sms', '08000930705']"
ham,['seeing']
ham,"['man well endowed', 'lt gt inches', 'great', 'hope', 'like']"
ham,"['missed calls', 'calls', 'messages']"
ham,"['get hep b immunisation', 'nigeria']"
ham,"['fair enough', 'anything going']"
ham,"['could maybe ask around', 'yeah hopefully', 'tyler', 'bit']"
ham,"['kept telling mark', 'even want', 'weak sucker', 'weak suckers', 'u', 'know', 'stubborn', 'go', 'hospital', 'hospitals']"
ham,"['first time', 'thinked', 'saw', 'class']"
ham,"['gram usually runs like lt gt', 'whole second gram', 'lt gt', 'half eighth', 'smarter though', 'gets', 'almost']"
ham,"['ride early tomorrow morning', 'k fyi x', 'place tonight', 'crashing']"
ham,"['never realized', 'always seemed', 'wow', 'embarassed', 'accomodations', 'thought', 'liked', 'since', 'best', 'could', 'happy', 'cave', 'sorry', 'give', 'offered', 'room', 'embarassing']"
spam,"['detroit red wings play ice hockey', 'new jersey devils', 'reply end sptv', 'ac sptv', 'end', 'sms', 'correct', 'incorrect']"
ham,"['lt url gt', 'mallika sherawat', 'know', 'yesterday', 'find']"
spam,"['1 year special cinema pass', 'c suprman v', 'call 09061209465', '4 free', 'dont miss', 'congrats', '2', 'matrix3', 'starwars3', 'etc', 'bx420', 'ip4', '5we', '150pm']"
ham,"['call later', 'sorry', 'meeting']"
ham,"['tell', 'reached']"
ham,"['odi series', 'yes', 'gauti', 'sehwag']"
ham,"['1 burger', 'way home', 'even move', 'gonna', 'pick', 'pain', 'killing']"
ham,"['ha ha ha good joke', 'situation seekers', 'girls']"
ham,"['checking iq', 'part']"
ham,"['roommates took forever', 'sorry', 'ok', 'come']"
ham,"['double check wif da hair dresser already', 'said wun cut v short', 'ok lar', 'look nice', 'said', 'cut']"
spam,"['å 1500 bonus prize', 'following recent review', 'valued customer', 'call 09066364589', 'pleased', 'advise', 'mob', 'awarded']"
ham,"['ur valuable frnds', 'song dedicated day', 'u dedicate', 'first rply', 'song', 'today', 'send']"
spam,"['87121 18 6 å 1', 'urgent ur awarded', 'claim txt dis', 'å 1000', 'complimentary trip', 'eurodisinc trav', 'aco entry41', 'ls1 3aj', '50', 'morefrmmob', 'shracomorsglsuplt', '10']"
spam,"['new divorce barbie', 'hear', 'comes', 'ken', 'stuff']"
ham,"['month end', 'plane', 'give']"
ham,"['wah lucky man', 'save money', 'hee']"
ham,['finished class']
ham,"['hi babe im', 'home', 'wanna', 'something', 'xx']"
ham,"['k', 'performed']"
ham,"['u', 'call']"
ham,"['waiting machan', 'call', 'free']"
ham,"['thats cool', 'gentleman', 'treat', 'dignity', 'respect']"
ham,"['shy pa', 'like', 'peoples', 'much']"
ham,"['lt gt', 'operate']"
ham,"['still looking', 'job', 'much', 'ta', 'earn']"
ham,"['call later', 'sorry']"
ham,"['k', 'call', 'ah']"
ham,"['home hi hi', 'ok', 'way']"
ham,"['place', 'man']"
ham,['yup next stop']
ham,"['call', 'later', 'network', 'urgnt', 'sms']"
ham,"['u getting', 'need 2', 'already used', 'real', 'yo', 'tickets', 'one', 'jacket', 'done', 'multis']"
ham,"['pain came back', 'send requests', 'double coins', 'gotta cash', 'back', 'yes', 'started', 'make', 'bed', 'factory', 'nitros']"
ham,"['still tonight babe', 'really']"
ham,"['come wen ur free', 'ela kano', 'il download']"
ham,"['close tho', 'catch something', 'yeah', 'û', 'stand']"
ham,"['meet another night', 'spent late afternoon', 'time sheets', 'sorry', 'pain', 'ok', 'casualty', 'means', 'done', 'stuff42moro', 'includes']"
ham,"['sum1 hurts u smile becoz someone still loves', 'trouble pours like rain smile', 'see u smiling', 'pleasure smile', 'pain smile', 'smile']"
spam,"['guaranteed å 1000 cash', 'å 5000 prize', 'customer service representative', '0800 169 6031', 'please call', '10am', '9pm']"
ham,"['u finish work already', 'check already lido', 'got 530 show', 'havent planning', 'buy later', 'e afternoon']"
spam,"['free ringtone', 'simply text', 'password mix', 'get usher', 'waiting', 'collected', '85069', 'verify', 'britney', 'fml']"
ham,"['watching telugu movie', 'wat abt u']"
ham,"['see', 'finish', 'loads', 'loans', 'pay']"
ham,"['get home n shower beforehand', 'hairdressers appointment', 'cause prob', 'hi', 'wk', 'ok', 'hols', 'yes', 'bit', 'run', 'forgot', 'four', 'need', 'u', 'ham']"
ham,"['nothing else', 'please', 'text', 'anymore', 'say']"
ham,"['u ave x ams xx', 'okay name ur price', 'long', 'legal', 'wen', 'pick']"
ham,"['gone 4the driving test yet', 'still looking', 'car', 'buy']"
ham,"['oru minnaminunginte nurungu vettam', 'request melle melle', 'press 9', 'friends callertune', 'callertune', 'per', 'set', 'callers', 'copy']"
ham,"['still says boston', 'boston men', 'search location', 'signin page', 'something changed', 'changed', 'wow', 'right', 'mean', 'guess', 'gave', 'nyc', 'cuz']"
ham,"['vava umma love', 'lot dear', 'umma', 'life']"
ham,"['birthday truly memorable', 'birthday', 'thanks', 'lot', 'wishes', 'making']"
ham,"['aight', 'hit', 'get', 'cash']"
ham,"['ip address test', 'minecraft server', 'would', 'considering', 'computer']"
ham,"['grumpy old people', 'play jokes', 'know', 'mom', 'like', 'better', 'lying', 'always', 'one']"
ham,"['dont worry', 'guess', 'busy']"
ham,"['noun research', 'plural']"
ham,"['going', 'dinner', 'msg']"
ham,"['like 2 try new things', 'scared u dun like mah', 'cos u said', 'ok wif', 'cos', 'loud']"
spam,"['last weekends draw shows', 'å 1000 prize guaranteed', 'claim code k52', 'call 09064012160', 'valid 12hrs', 'gent', 'trying', 'contact', '150ppm']"
ham,"['ur openin sentence', 'much n puttin', 'anythin special happened', 'juz tt', 'wa', 'formal', 'anyway', 'fine', 'eatin', 'weight', 'haha']"
ham,"['happy b day boss', 'pa said', 'felt special', '4 lunch', 'lunch', 'entered', 'cabin', 'askd', 'invited', 'apartment', 'went']"
spam,"['specially selected 2 receive å 1000', 'live operator 2 claim 0871277810910p min', 'winner u', '4 holiday', 'flights inc', 'speak', '18']"
ham,"['must speak friday', 'potato ratio', 'tortilla needed', 'goodo', 'yes', 'egg']"
ham,"['pls buy food', 'school directly', 'hmm', 'uncle', 'informed', 'paying']"
spam,"['07742676969 shows 786 unredeemed bonus points', 'claim call 08719180248 identifier code', '2004 account statement', '45239 expires', 'private']"
spam,"['awarded å 2000 bonus caller prize', '5 9 03', 'landline 09064019788 box42wr29c', 'final try', 'contact u', 'urgent', 'mobile', 'call', '150ppm']"
ham,"['new address', 'apples pairs', 'malarky']"
spam,"['match please call 08712300220 quoting claim code 4041 standard rates app', 'todays voda numbers ending 7548', '350 award', 'selected', 'receive']"
ham,"['sao mu today', 'going', 'done', '12']"
ham,"['ìï predict wat time ì_', 'finish buying']"
ham,['good stuff']
ham,"['sent money yet', 'bother sending', 'first place', 'imposed anything', 'sent', 'anything', 'know', 'yetunde', 'text', 'dont', 'involve', 'apologise']"
ham,['room']
ham,"['hope u r well', 'del r bak', 'call sum time', 'r u', 'long time', 'hey girl', 'c', 'give', 'lucyxx']"
ham,"['k', 'much', 'cost']"
ham,['home']
ham,"['call tmorrow', 'pls accomodate', 'dear']"
ham,"['first answer', 'question']"
spam,"['sunshine quiz wkly q', 'top sony dvd player', 'u know', 'txt ansr', 'å 1', '50 sp', 'win', 'country', 'algarve', '82277', 'tyrone']"
spam,"['want real dogging locations sent direct 2 ur mob', 'largest dogging network bt txting gravel', 'want 2 get laid tonight', 'join', 'uk', '69888', 'nt', 'ec2a', '31p', 'msg', '150p']"
ham,"['haf msn', 'yijue', 'hotmail', 'com']"
ham,"['call', 'meet']"
ham,"['rooms befor activities', 'check']"
spam,"['u get nothing u must age verify', 'free hardcore services text go', 'yr network try', 'chat svc', 'rcv', 'msgs', '69988']"
ham,"['got c', 'forgot ì_', 'v nice', 'lazy', 'type', 'lect', 'saw', 'pouch', 'like']"
ham,"['k', 'text', 'way']"
ham,"['sir', 'waiting', 'mail']"
ham,"['little things 4 lovable persons', 'little things occupy', 'nver get tired', 'swt thought', 'biggest part', 'gud ni8', 'coz', 'somtimes', 'hearts']"
ham,"['pls open', 'know', 'back']"
ham,"['yes see ya', 'dot']"
ham,"['staff name', 'taking class', 'whats', 'us']"
spam,"['netcollex ltd 08700621170150p per msg reply stop', 'live local', 'freemsg', 'replied', 'text', 'randy', 'sexy', 'female', 'luv', 'hear', 'u', 'end']"
ham,"['pls pray', 'ummma', 'call', 'check', 'life', 'begin', 'qatar', 'hard']"
ham,"['k', 'deleted', 'contact']"
ham,"['sindu got job', 'birla soft']"
ham,"['wine', 'flowing', 'nevering']"
ham,"['need 2 go', '2 plaza mah', 'thk cine', 'better cos', 'yup']"
ham,"['ur typical reply', 'ok']"
ham,"['oru minnaminunginte nurungu vettam', 'request melle melle', 'press 9', 'friends callertune', 'callertune', 'per', 'set', 'callers', 'copy']"
ham,"['everywhere dirt', 'comes flowing', 'world without', 'tv shows', 'guess like', 'must exist', 'like rain', 'become one', 'floor', 'windows', 'even', 'shirt', 'sometimes', 'open', 'mouth', 'dream', 'half', 'chores', 'time', 'joy', 'lots', 'see', 'things', 'hail', 'mist', 'done']"
ham,"['aaooooright', 'work']"
ham,"['leaving', 'house']"
ham,"['interview today', 'good boy', 'hello', 'love', 'get', 'happy', 'think', 'missing']"
spam,"['new years delivery waiting', 'customer service annoncement', 'please call 07046744435', 'arrange delivery']"
spam,"['specially selected 2 receive å 1000 cash', 'live operator 2 claim 0871277810810', 'winner u', '4 holiday', 'flights inc', 'speak']"
ham,"['envy everyone', 'real life', 'keep', 'safe', 'need', 'miss', 'already', 'see']"
ham,"['new car', 'new job', 'house', 'parents', 'hand']"
ham,"['love', 'excited', 'day', 'spend', 'make', 'happy']"
spam,"['ac u bootydelious stop', 'pls stop bootydelious', 'send stop frnd', '32 f', 'reply yes', '434 see', '434', 'inviting', 'friend', 'www', 'sms', '62468']"
spam,"['service msg 2 download ur content', 'ur mobile internet service menu', 'bangbabes ur order', 'goto wap', 'way', 'u', 'receive', 'bangb', 'tv']"
ham,"['e cultures module already', 'ur points', 'place']"
spam,"['last weekends draw shows', 'å 900 prize guaranteed', 'claim code s89', 'call 09061701939', 'valid 12hrs', 'urgent', 'trying', 'contact']"
ham,"['avoid missunderstding wit', 'hi frnd', 'best way', 'beloved one']"
ham,"['great escape', 'fancy', 'bridge', 'needs', 'lager', 'see', 'tomo']"
ham,"['clark also utter waste', 'yes', 'completely', 'form']"
ham,"['need axis bank account', 'bank address', 'sir']"
ham,"['thk sure got time', 'go 4 free abt', 'muz call u', 'hop ard', 'discuss liao', 'hmmm', 'ya']"
ham,"['time', 'coming', 'later']"
ham,"['ill give u', 'bloody hell', 'cant believe', 'surname mr', 'forgot', 'clue', 'spanish', 'begins']"
ham,"['gonna finish', 'fine night', 'well', 'bath', 'good']"
ham,"['let', 'know', 'got', 'money', 'carlos', 'make', 'call']"
ham,"['u still going', 'mall']"
ham,"['back til lt gt', 'lt gt worth', 'whole show', 'feel free', 'go ahead', 'turns', 'friends', 'staying', 'smoke']"
ham,"['doesnt reply let', 'text', 'know', 'log']"
ham,"['reply toll free', 'maneesha v', 'hi', 'spoke', 'like', 'know', 'satisfied', 'experience', 'yes']"
ham,"['month approaches', 'gr8 weekend', 'lifted', 'hopes', 'offer', 'money', 'need', 'especially', 'end', 'hurts', 'studying', 'anyways']"
ham,"['lol', 'u', 'trust']"
ham,"['ok', 'gentleman', 'treat', 'dignity', 'respect']"
ham,['guys close']
ham,"['nothing great', 'going', 'bye']"
ham,"['working towards getting back', 'hello handsome', 'finding', 'job', 'lazy', 'net', 'mummy', 'boytoy', 'miss']"
ham,"['haha awesome', 'minute']"
spam,"['freephone 0808 145 4742', 'guaranteed å 1000 cash', 'å 5000 prize', 'customer service representative', 'please call', '9am', '11pm']"
ham,"['got xmas radio times', 'get']"
ham,"['sis using net tell u', 'jus reached home', 'go bathe first', 'finishes k']"
spam,"['unique enough', '30th august', 'find', 'www', 'areyouunique', 'co', 'uk']"
ham,"['great personal cost', 'great deal', 'great week', 'dont keep', 'times even', 'sorry', 'joined', 'league', 'people', 'touch', 'mean', 'friend']"
ham,"['hi', 'finally', 'completed', 'course']"
ham,"['however suggest', 'give ors', 'every stool', 'stop', 'stays', 'someone', 'able']"
ham,"['new school year', 'gr8 day', 'hope', 'settled', 'wishin']"
ham,"['gud mrng dear hav', 'nice day']"
ham,"['u got', 'persons story']"
ham,"['1pm orchard mrt', 'hamster dead', 'hey', 'tmr', 'meet']"
ham,"['bloody babyjontet', 'txt back', 'hi', 'kate', 'evening', 'hope', 'see', 'tomorrow', 'bit', 'u', 'xxx']"
ham,"['enc lt gt', 'found']"
ham,"['lt gt bucks', 'sent']"
ham,"['hello darlin ive finished college', 'love kate xxx', 'u finish', 'u', 'txt']"
ham,"['inr lt decimal gt', 'rs lt decimal gt', 'keralacircle prepaid account balance', 'kr lt gt', 'refilled successfully', 'transaction id', 'account']"
ham,['goodmorning sleeping ga']
ham,"['u call', '11 ok', 'alter']"
ham,"['dun buy ericsson oso cannot oredi lar', 'ìï say', 'like dat']"
ham,"['happy b day boss', 'pa said', 'felt special', '4 lunch', 'lunch', 'entered', 'cabin', 'askd', 'invited', 'apartment', 'went']"
ham,"['dats straight dogg', 'aight yo']"
ham,"['please give us connection today', 'lt decimal gt', 'refund', 'bill']"
ham,"['shoot big loads', 'get ready']"
ham,"['great break', 'rewarding semester', 'bruv', 'hope']"
ham,"['always chat', 'home']"
ham,"['study well', 'k', 'good']"
ham,"['ì_ noe leh', 'yup']"
ham,"['sounds great', 'home']"
ham,"['match heading towards draw', 'finally', 'prediction']"
ham,"['slept well', 'tired', 'past', 'nights']"
ham,"['sen got selected means', 'easy ah', 'good']"
ham,"['take exam', 'march 3']"
ham,"['gt atm', 'help let', 'yeah', 'think', 'use', 'register', 'sure', 'anyway', 'know', 'ready']"
ham,"['take ur time', 'ok', 'prob']"
ham,"['run without installing', 'os called ubandu', 'hard disk', 'important files', 'repair shop', 'os', 'use', 'copy', 'system', 'give']"
ham,"['call later', 'sorry']"
ham,"['course nothing happen lar', 'thk e nite scenery', 'say v romantic jus', 'u say leh', 'nice leh', 'bit', 'lor']"
spam,"['500 new mobiles', 'å 1 www', 'biz 2optout 087187262701', 'must go', '89545 collect', '50gbp mtmsg18', '2004', 'txt', 'nokia', 'today', '4', 'tc']"
ham,"['would really appreciate', 'need someone', 'call', 'talk']"
spam,"['u meet ur dream partner soon', 'ur star sign', 'txt horo followed', 'ur career', 'horo aries', 'flyng start', '2 find', '2', 'free', 'e', 'g']"
ham,['hey company elama po mudyadhu']
ham,"['bcoz teacher teaches lesson amp', 'life first conducts exam amp', 'conducts exam', 'teaches lessons', 'happy morning', 'life', 'teacher', 'strict']"
ham,['dear good morning']
ham,"['right side lt gt street road', 'cross cut road', 'first right', 'get', 'gandhipuram', 'walk', 'turn']"
ham,"['rubber place', 'dear', 'going']"
ham,"['sorry battery died', 'yeah']"
ham,"['always available', 'work place', 'yes', 'tv']"
spam,"['text meet someone sexy today', 'name age eg sam 25', 'even flirt', 'join 4', 'msg recd', 'thirtyeight pence', 'u', 'find', 'date', '10p', 'reply', '18']"
ham,"['lt gt come upstairs', 'printed', 'oh']"
ham,"['little closer like', 'bus stop', 'ill', 'street']"
ham,"['wil', 'reach']"
ham,"['new theory', 'argument wins', 'dont argue', 'ur friends', 'amp say', 'always correct', 'situation', 'loses', 'person', 'kick']"
spam,"['looking 2 make contact', 'secret admirer', 'r reveal', 'thinks ur', 'u 447801259231', 'u', 'find', 'special', 'call', '09058094597']"
ham,"['tomarrow final hearing', 'laptop case', 'cant']"
ham,"['v avent done sportsx', 'pleassssssseeeeee tel']"
ham,"['sounds better', 'okay', 'shining', 'meant', 'signing']"
ham,"['really like e watch u gave cos', 'thanx 4 everything dat u', 'told u dat', 'baig face watches', 'fr u', 'done today', 'although', 'touched']"
ham,"['old commercial', 'u', 'remember']"
ham,"['late', 'said', 'website', 'dont', 'slippers']"
ham,"['asked', 'call', 'ok']"
ham,"['kallis wont bat', '2nd innings']"
ham,"['good night sleep', 'didnt work', 'ok goodnight', 'dearly missed', 'oh', 'fix', 'ready', 'time', 'wake']"
spam,"['125gift guaranteed free entry 2 100 wkly draw txt music', 'congratulations ur awarded 500', '87066 tncs www', 'cd vouchers', 'ldew', 'com1win150ppmx3age16']"
ham,"['ranjith cal drpd deeraj', 'deepak 5min hold']"
ham,"['wen ur lovable bcums angry wid u', 'childish n true way', 'care n luv', 'showing deep affection', 'nice day da', 'dnt take', 'angry', 'kettoda manda', 'seriously', 'coz']"
ham,[]
ham,"['3days also', 'shipping company', 'bribe nipost', 'takes 2wks', 'takes', 'ups', 'way', 'usps', 'week', 'gets', 'lag', 'may', 'get', 'stuff']"
ham,"['lemme know', 'back', 'ready']"
ham,"['get back though', 'necessarily expect', 'done', 'headin']"
ham,"['yummy babe', 'nice jolt', 'mmm', 'suzy']"
ham,"['lover', 'need']"
spam,"['750 anytime networks mins', 'video handset', 'unlimited text', 'call 08000930705', 'tried', 'contact', 'reply', 'offer', 'camcorder']"
ham,"['parked next', 'û', 'mini', 'coming', 'today', 'think']"
ham,['yup']
ham,"['dun disturb u liao', 'going shopping', 'done yet', 'anyway', 'cos', 'sis']"
ham,"['luton 0125698789 ring', 'ur around', 'h']"
spam,"['unsubscribe text stop 69698', '69698 text charged', 'naked text hot', 'really horny want', 'hey', 'chat', 'see', '150pm']"
ham,"['dint come', 'us']"
ham,"['wana plan', 'trip sometme']"
ham,"['sure yet', 'still trying', 'get', 'hold']"
spam,"['150p wk club4 po box1146 mk45 2wt', 'ur ringtone service', '25 free credits', 'txt club stop', 'choose content', 'stop', 'changed', 'go', 'club4mobiles', 'com', '87070']"
ham,"['download flash', 'evo', 'jealous']"
spam,"['uk singles chart', 'top quality ringtone', 'ringtone club', 'get', 'mobile', 'week', 'choose', 'message', 'free', 'charge']"
ham,"['narcotics situation', 'come', 'mu', 'sorting']"
ham,"['blue blue bay', 'another day', 'special way', 'smile like', 'sunny rays', 'night', 'ended', 'morning', 'come', 'may', 'leaves', 'worries']"
spam,"['hmv bonus special 500 pounds', 'answer 4 easy questions', 'genuine hmv vouchers', 'send hmv', 'play', '86688', 'info', 'www', '100percent', 'real', 'com']"
ham,"['well take 1 car', 'usf', 'guess', 'might']"
ham,"['objection', 'bf', 'coming']"
ham,['thanx']
ham,"['tell rob', 'mack', 'gf', 'theater']"
ham,"['awesome', 'see', 'bit']"
ham,"['sent', 'type', 'food', 'like']"
ham,"['full swing yet', 'done', 'handed', 'celebrations']"
ham,"['got called', 'tool']"
ham,['wen u miss someone']
ham,"['ok', 'asked', 'money', 'far']"
ham,['okie']
ham,"['usual guy', 'still passed', 'last night', 'get ahold', 'anybody let', 'yeah', 'think', 'know', 'throw']"
ham,"['might come', 'class lets', 'k', 'tonight', 'early']"
ham,['ok']
ham,"['hi baby im cruisin', 'love jenny xxx', 'girl friend', 'r u', 'thats alright', '2', 'give', 'call', 'hour', 'home', 'fone']"
ham,"['world calls', 'life means', 'world', 'life', 'lot', 'love', 'people', 'friends', 'call', 'ge']"
ham,"['varunnathu edukkukayee raksha ollu', 'shall mail tonite', 'shall update', 'looking ok', 'good one', 'real sense', 'tonite', 'dear', 'busy', 'street', 'things']"
ham,"['gautham ah', 'hey', 'told', 'name']"
ham,"['stupid da v cam', 'haf u found', 'feel', 'working']"
ham,"['4 got', 'oops', 'bit']"
ham,['much buzy']
ham,"['accidentally deleted', 'resend please', 'message']"
spam,"['free camera phone upgrade', 'pay go sim card', '0845 021 3680', 'offer ends 28thfeb', 'mobile customer', 'may', 'claim', 'loyalty', 'call', 'c', 'apply']"
ham,"['go gurl would', 'unless', 'situation', 'appropriate']"
ham,"['die plz keep one rose', 'nice day bslvyl', 'say stupid', 'miss u', 'hurt', 'tease', 'make', 'cry', 'end', 'life', 'grave']"
ham,"['cant pick', 'phone right', 'pls send', 'message']"
ham,"['coffee run tomo', 'week already', 'need', 'believe', 'time']"
ham,"['got somebody high', 'last time', 'first time', 'awesome', 'remember', 'diesel', 'v']"
ham,"['really shocking', 'cant imagine', 'u think', 'could crash', 'shit', 'scary', 'second', 'def', 'night', 'somewhere', 'save', 'taxi']"
ham,"['meal tonight', 'oh', 'way', 'food', 'fridge', 'want', 'go']"
ham,['womdarfull actor']
spam,"['blind dates send hide', 'ac blind date 4u', 'ac w icmb3cktz8r7', 'united kingdom', 'sms', 'rodds1', '21', 'aberdeen', 'check', 'http', 'img', '4']"
ham,"['yup', 'remb', 'think', 'book']"
ham,"['u wana meet', 'jos ask']"
ham,"['thread cause u', 'lol yes', 'buy stuff', 'friendship', 'hanging']"
spam,"['funky text wap', 'themob check', 'newest selection', 'mobile fit', 'content', 'games', 'tones', 'gossip', 'babes', 'sport', 'keep', '82468']"
ham,"['garage keys', 'bookshelf']"
ham,"['brother sister lover dear1 best1 clos1 lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd', 'rply means enemy', 'accept day', 'u accept', 'today']"
spam,"['cs winnersclub po box 84', 'think ur smart', 'win å 200', 'weekly quiz', 'text play', 'm26 3uz', '50 week', 'week', '85222', '16', 'gbp1']"
ham,"['definitely buying', 'says', 'give', 'call', 'friend', 'got', 'money', 'end', 'week']"
ham,"['hope u find wot', 'know u 4', 'u 2day', 'ur unique', 'normal way', 'hope', 'way', 'hi', 'real', 'rest', 'mylife', 'lost']"
ham,"['great day', 'day', 'made']"
ham,"['advance happy pongal', 'k']"
ham,"['go 4 kb n power yoga', 'tahan power yoga anot', 'thk got lo oso', 'forgot liao', 'hmmm', 'guess', 'haha', 'dunno']"
ham,"['really dude', 'friends', 'afraid']"
spam,"['latest colour camera mobile', 'mobile update co free', 'mobile 11mths', 'update', 'free', 'december', 'entitled', 'call', '08002986906']"
ham,"['coffee cake', 'guess']"
ham,"['love ya kisses', 'merry christmas', 'babe']"
ham,"['go watch x men', 'hey', 'dont', 'lunch', 'haha']"
ham,"['bit l8 cos 2 buses hav gon past cos', 'cud u tell ppl im gona b', 'full im still waitin 4 1', 'pete x']"
ham,"['plans take flight', 'could meet', 'bristol road', 'good week', 'would', 'great', 'guild', 'somewhere', 'get', 'touch', 'weekend']"
ham,['problem']
ham,"['missed calls', 'calls', 'messages']"
ham,"['hi da', 'todays class']"
ham,"['good sign', 'track record', 'reading women', 'say', 'well', 'know']"
ham,"['cool', 'text', 'parked']"
ham,"['reading', 'text', 'sent', 'meant', 'joke', 'read', 'light']"
ham,"['good movie', 'apo k', 'k']"
ham,"['could get book', 'maybe', 'tomo', 'return', 'immediately', 'something']"
spam,"['fixed line via access number 0844 861 85 85', '1 pence per minute', 'direct access', 'call germany', 'call', 'prepayment']"
ham,"['phone number', 'chance', 'might', 'evaporated', 'soon', 'violated', 'privacy', 'stealing', 'employer', 'paperwork', 'cool', 'please', 'contact', 'report', 'supervisor']"
spam,"['valentines day special', '150p msg rcvd', 'å 1000', 'send go', 'win', 'quiz', 'take', 'partner', 'trip', 'lifetime', '83600', 'custcare', '08718720201']"
ham,"['home babe', 'ta', 'daaaaa', 'still']"
ham,"['cool', 'come', 'havent', 'wined', 'dined']"
ham,"['sleeping', 'surfing']"
ham,"['call later', 'sorry']"
ham,"['u calling', 'hand phone', 'right', 'call']"
ham,"['great thanx', 'ok', 'lot']"
ham,"['wiv hello caroline', 'happy reading', 'take', 'post', 'come', 'must', '1000s', 'texts', 'one', 'end', 'favourite', 'bless']"
ham,"['hiding stranger', 'u']"
ham,"['interested', 'like']"
ham,"['sister cleared two round', 'birla soft yesterday']"
ham,"['practice going', 'gudnite', 'tc']"
ham,"['case huiming havent sent u', 'jus saw ur mail', 'dis', 'yijue', 'num']"
ham,['one small prestige problem']
